C;gamma;kernel;Rank;Fit Time;Score Time;RMSE;R2;EV;MSLE;MPD
1,0;0,1;rbf;1;67,50746130943298;25,67217993736267;-1,8351097635111344;0,020790930160501448;0,060235538435028047;-0,057045972222884565;-0,5195018121514772
0,1;0,1;rbf;2;65,52637696266174;25,77223292986552;-1,841616929359515;0,013768531186201397;0,0568062833334001;-0,057099853706178254;-0,522462577093969
0,1;1,0;rbf;3;65,81551027297974;25,65575901667277;-1,842908706377236;0,012645083126093692;0,05660289721241948;-0,05728033369454294;-0,5222024185164736
10,0;0,01;rbf;4;71,20092113812764;25,75589434305827;-1,8472462361236053;0,007618645026981026;0,04591163663508898;-0,057814324395116405;-0,5272513798407151
1,0;1,0;rbf;5;115,99771515528361;25,58735243479411;-1,8518235303423884;0,003147722162898529;0,041523653880067214;-0,058555747252204936;-0,5301628688678308
1,0;0,001;rbf;6;83,99436593055725;25,796856959660847;-1,8557827240492397;-0,001504786301724977;0,03966603743484357;-0,05795673835258191;-0,5311181642903322
0,01;0,1;rbf;7;65,97622275352478;25,731249650319416;-1,8558019869794362;-0,0015445599640219927;0,04274464686827587;-0,05798431451336896;-0,5304949478949514
1,0;0,01;rbf;8;67,35711725552876;25,768408219019573;-1,8558747970644272;-0,001691646862953718;0,039944545193332646;-0,05806527430269153;-0,5317441509168562
0,1;0,001;rbf;9;83,68269753456116;25,83583410580953;-1,8560949354530545;-0,001841404959286382;0,03995876285517819;-0,05798104430227863;-0,5308512843853143
0,1;0,01;rbf;10;66,92613045374553;25,796931584676106;-1,8572962844570744;-0,003165713536370555;0,03931314982331698;-0,05804567445942802;-0,5321167271859797
10,0;0,1;rbf;11;110,08004037539165;25,67646360397339;-1,857441018679366;-0,003530149996804418;0,0329094341039207;-0,05916185053054935;-0,5351424404716462
0,01;0,01;rbf;12;66,93358421325684;25,604362805684406;-1,8579220423240752;-0,0038311879764267864;0,038931196379198285;-0,058104765998772324;-0,5318769903914714
10,0;0,001;rbf;13;68,08006890614827;25,78857119878133;-1,8601000392851643;-0,00626617023819942;0,03595491069553943;-0,05833700020873997;-0,5345094520434904
0,01;1,0;rbf;14;65,94074002901714;25,70252752304077;-1,8663989090698887;-0,012863706516348902;0,03129828448939568;-0,059103887737505245;-0,5369174209954645
0,01;0,001;rbf;15;67,6831825574239;25,698334852854412;-1,8731977993803852;-0,020512719207165464;0,022767457026807048;-0,059595233909347685;-0,5414011643548821
10,0;1,0;rbf;16;587,1606808503469;25,373700539271038;-1,936204138893868;-0,08957979197678267;-0,06789021680934264;-0,06676774361842848;-0,5883955656994355
